the                  ###########################################################
and                  ########################################
of                   ###############################
to                   ##############################
I                    ##############################
MACBETH              ######################
a                    #####################
in                   #################
my                   ################
is                   ################
And                  ###############
you                  #############
not                  #############
his                  #############
with                 #############
The                  #############
that                 #############
be                   ############
have                 ############
your                 ###########
our                  ##########
it                   ##########
LADY                 #########
That                 #########
MACDUFF              #########
he                   ########
for                  ########
this                 ########
To                   #######
me                   #######
but                  #######
thou                 #######
Enter                #######
we                   ######
all                  ######
do                   ######
will                 ######
their                ######
as                   ######
But                  ######
Witch                #####
are                  #####
they                 #####
him                  #####
on                   #####
upon                 #####
no                   #####
from                 #####
so                   #####
ROSS                 #####
What                 #####
shall                #####
BANQUO               #####
First                #####
what                 #####
at                   #####
MALCOLM              #####
thy                  #####
which                #####
yet                  ####
hath                 ####
should               ####
A                    ####
good                 ####
He                   ####
us                   ####
As                   ####
Which                ####
by                   ####
thee                 ####
would                ####
I'll                 ####
make                 ####
Murderer             ####
did                  ####
her                  ####
like                 ####
must                 ####
were                 ####
In                   ###
My                   ###
more                 ###
Exeunt               ###
For                  ###
SCENE                ###
am                   ###
an                   ###
had                  ###
or                   ###
was                  ###
We                   ###
them                 ###
If                   ###
LENNOX               ###
know                 ###
With                 ###
may                  ###
Second               ###
great                ###
Doctor               ###
Thou                 ###
come                 ###
now                  ###
'tis                 ###
It                   ###
Of                   ###
So                   ###
You                  ###
does                 ###
most                 ###
time                 ###
Exit                 ###
Is                   ###
Third                ###
When                 ###
one                  ###
This                 ##
Who                  ##
can                  ##
nor                  ##
say                  ##
see                  ##
such                 ##
these                ##
up                   ##
where                ##
How                  ##
Let                  ##
Our                  ##
SIWARD               ##
Shall                ##
been                 ##
done                 ##
thane                ##
All                  ##
DUNCAN               ##
go                   ##
me,                  ##
mine                 ##
sir,                 ##
than                 ##
when                 ##
Your                 ##
cannot               ##
if                   ##
let                  ##
those                ##
who                  ##
Ay,                  ##
Macbeth              ##
They                 ##
has                  ##
heart                ##
lord,                ##
man                  ##
she                  ##
speak                ##
things               ##
you,                 ##
His                  ##
Was                  ##
before               ##
fear                 ##
i'                   ##
o'                   ##
worthy               ##
'Tis                 ##
Come,                ##
Son                  ##
Then                 ##
every                ##
him,                 ##
him.                 ##
how                  ##
it,                  ##
look                 ##
out                  ##
some                 ##
take                 ##
there                ##
within               ##
ALL                  ##
Are                  ##
Be                   ##
Do                   ##
Till                 ##
Where                ##
could                ##
hear                 ##
here                 ##
king                 ##
me.                  ##
never                ##
own                  ##
poor                 ##
put                  ##
way                  ##
you.                 ##
By                   ##
Give                 ##
O                    ##
There                ##
What,                ##
made                 ##
nature               ##
three                ##
time,                ##
too                  ##
Gentlewoman          ##
Hath                 ##
MACBETH,             ##
Than                 ##
Upon                 ##
Why                  ##
Why,                 ##
blood                ##
bloody               ##
castle.              ##
dare                 ##
day                  ##
else                 ##
find                 ##
give                 ##
keep                 ##
much                 ##
so,                  ##
strange              ##
thee,                ##
then                 ##
without              ##
Knocking             #
Messenger            #
No                   #
Not                  #
Servant              #
What's               #
Whose                #
Will                 #
Would                #
both                 #
ere                  #
it.                  #
men                  #
noble                #
not,                 #
pray                 #
say,                 #
show                 #
thought              #
us.                  #
very                 #
wood                 #
Banquo               #
From                 #
God                  #
O,                   #
There's              #
Though               #
Thy                  #
against              #
art                  #
bear                 #
being                #
death                #
each                 #
into                 #
king,                #
many                 #
name                 #
near                 #
night                #
not.                 #
royal                #
still                #
that's               #
then,                #
two                  #
At                   #
Birnam               #
Duncan               #
Good                 #
Have                 #
LENNOX,              #
Macbeth!             #
Macbeth,             #
Macduff              #
Now                  #
Or                   #
about                #
again                #
and,                 #
any                  #
comes                #
do,                  #
double               #
first                #
hand                 #
leave                #
less                 #
lie                  #
life                 #
lord.                #
love                 #
new                  #
once                 #
other                #
power                #
set                  #
thine                #
think                #
though               #
well                 #
why                  #
ANGUS                #
Dunsinane.           #
Hark!                #
Macbeth.             #
Re-enter             #
SEYTON               #
Those                #
Who's                #
YOUNG                #
best                 #
better               #
bid                  #
call                 #
come,                #
deed                 #
drink                #
eye                  #
father               #
fear,                #
fight                #
full                 #
grace                #
hands                #
heard                #
hour                 #
known                #
last                 #
none                 #
nothing              #
palace.              #
seem                 #
shalt                #
sleep                #
sleep,               #
stand                #
tell                 #
thee.                #
them.                #
till                 #
to-night.            #
wife                 #
woman                #
you?                 #
's                   #
Banquo,              #
Cawdor               #
English              #
FLEANCE              #
Great                #
HECATE               #
Here                 #
I.                   #
Look                 #
MACDUFF,             #
MALCOLM,             #
More                 #
Murderers            #
No,                  #
ROSS,                #
Scotland             #
Thunder.             #
Well,                #
Witches              #
Within               #
[Aside]              #
air                  #
business             #
cauldron             #
cry                  #
done.                #
doth                 #
even                 #
ever                 #
eyes                 #
fall                 #
fear.                #
forth                #
given                #
gracious             #
hast                 #
heaven               #
hold                 #
honour               #
knows                #
little               #
love,                #
master               #
mortal               #
myself               #
now,                 #
place                #
please               #
rather               #
report               #
rest                 #
sir.                 #
that,                #
thoughts             #
through              #
tyrant's             #
we'll                #
weird                #
whom                 #
you!                 #
ACT                  #
Against              #
And,                 #
Attendants           #
Banquo's             #
Before               #
Both                 #
Bring                #
Come                 #
Did                  #
Fleance              #
Forres.              #
GHOST                #
Go                   #
Had                  #
II.                  #
III.                 #
Like                 #
MENTEITH             #
Macbeth's            #
Man                  #
OF                   #
Old                  #
Porter               #
Their                #
Things               #
Were                 #
Yet                  #
afraid               #
again,               #
almost               #
are,                 #
bed,                 #
black                #
born                 #
country              #
dearest              #
devil                #
died                 #
done,                #
down                 #
down;                #
false                #
fell                 #
fill                 #
friends              #
get                  #
goes                 #
hail,                #
here,                #
innocent             #
issue                #
it:                  #
left                 #
life,                #
live                 #
lost                 #
me:                  #
meet                 #
mind                 #
murder               #
old                  #
out,                 #
part                 #
receive              #
return               #
see,                 #
seen                 #
sit                  #
so?                  #
son,                 #
sorrow               #
state                #
sword                #
terrible             #
thick                #
thing                #
throw                #
thus                 #
toward               #
under                #
wear                 #
well.                #
wisdom               #
wouldst              #
'twere               #
Apparition           #
BANQUO,              #
Cawdor!              #
DONALBAIN            #
Drum                 #
Each                 #
England              #
Even                 #
Flourish.            #
Hail,                #
Hang                 #
He's                 #
Here's               #
IV.                  #
Knock,               #
Let's                #
Lord                 #
Make                 #
Must                 #
Nor                  #
Now,                 #
On                   #
Only                 #
Say                  #
See,                 #
Sergeant             #
Such                 #
That,                #
after                #
again.               #
away                 #
become               #
blood,               #
blood;               #
bosom                #
breath               #
bring                #
broke                #
bubble.              #
call'd               #
came                 #
care                 #
children             #
comfort              #
coming               #
country's            #
cousin,              #
crown                #
cruel                #
daggers              #
day's                #
dead                 #
dead,                #
death,               #
deed.                #
deep                 #
desire               #
doubt                #
earth                #
face,                #
far                  #
fatal                #
fear:                #
fears                #
feel                 #
fly,                 #
former               #
fortune,             #
general              #
gentle               #
gone                 #
hand,                #
hand.                #
hand;                #
hang                 #
head,                #
health               #
heavy                #
hence                #
here's               #
here?                #
hide                 #
highness             #
him:                 #
him;                 #
himself              #
honest               #
hope                 #
is't                 #
knocking             #
laugh                #
light                #
man's                #
might                #
mine,                #
more:                #
nature's             #
night's              #
night,               #
night:               #
off                  #
on,                  #
only                 #
play                 #
remember             #
rise                 #
second               #
seems                #
send                 #
shake                #
sleep.               #
so.                  #
soldier              #
sound                #
speak;               #
spend                #
spirits              #
stay                 #
strike               #
strong               #
takes                #
ten                  #
thank                #
them,                #
them;                #
themselves           #
thence               #
there!               #
there's              #
there,               #
there?               #
this,                #
title                #
to-morrow,           #
tongue               #
too.                 #
truth                #
tyrant               #
valour               #
violent              #
welcome              #
well,                #
went                 #
whence               #
while                #
whose                #
within.              #
word                 #
words                #
you:                 #
young                #
'em.                 #
ANGUS,               #
Alarums              #
Almost               #
Another              #
Apparition:          #
Art                  #
But,                 #
CAITHNESS            #
Can                  #
Cannot               #
Cawdor?              #
Child                #
DONALBAIN,           #
DUNCAN,              #
Descends             #
Double,              #
Duncan's             #
Dunsinane            #
Dunsinane,           #
England.             #
Exeunt,              #
Fare                 #
Fife.                #
Fire                 #
Get                  #
Glamis,              #
God's                #
Hail!                #
Hautboys             #
Hear                 #
Heaven               #
Her                  #
I,                   #
Into                 #
Is't                 #
Know                 #
Lords                #
Macduff,             #
Malcolm              #
May                  #
Might                #
New                  #
Norweyan             #
Nothing              #
Poor                 #
Put                  #
Ring                 #
SIWARD,              #
Scotland!            #
She                  #
Show!                #
So,                  #
Soldiers             #
Soldiers,            #
Some                 #
Stand                #
Stands               #
Take                 #
Thanks               #
Thrice               #
Too                  #
V.                   #
VI.                  #
We'll                #
Well                 #
Whether              #
Whither              #
Whom                 #
Without              #
[Aside               #
above                #
absolute             #
act                  #
aid                  #
air,                 #
air;                 #
all's                #
ambition,            #
another              #
answer               #
applaud              #
are.                 #
attend               #
away,                #
bade                 #
be,                  #
been,                #
borne                #
breath,              #
broad                #
burn                 #
but,                 #
cast                 #
castle               #
catch                #
cause                #
chance               #
charm                #
cheer                #
cold                 #
colours.             #
come.                #
contend              #
cried                #
dagger               #
damn'd               #
damned               #
dark                 #
days                 #
dead;                #
dear                 #
death.               #
deeds                #
desert               #
didst                #
dismal               #
do.                  #
dost                 #
down.                #
due                  #
duties               #
eat                  #
enough:              #
ever,                #
eye,                 #
face                 #
faces                #
false,               #
fast                 #
fate                 #
father?              #
fight,               #
fit                  #
fled                 #
fly                  #
foul                 #
free                 #
further.             #
gashes               #
golden               #
gone,                #
good,                #
grooms               #
grows                #
hail                 #
hard                 #
having               #
he's                 #
head                 #
heart,               #
heaven,              #
hell.                #
help                 #
her,                 #
high                 #
highness'            #
ho!                  #
holy                 #
home                 #
horrid               #
hour.                #
house:               #
in,                  #
is.                  #
it;                  #
itself               #
keeps                #
kill                 #
kill'd               #
king;                #
kings,               #
kings.               #
knell                #
knock!               #
lack                 #
lies                 #
life's               #
line                 #
lived                #
lives                #
long                 #
look'd               #
lord:                #
makes                #
man.                 #
man;                 #
marching             #
mayst                #
me?                  #
mere                 #
met                  #
milk                 #
mind,                #
more;                #
murders              #
nature,              #
ne'er                #
need                 #
newest               #
night.               #
nights               #
nine                 #
noise                #
none:                #
not;                 #
note                 #
nothing,             #
now:                 #
now?                 #
o'er                 #
often                #
one,                 #
one.                 #
other.               #
out.                 #
owl                  #
peace                #
peace,               #
perform              #
point                #
present              #
pretty               #
pronounce            #
purpose              #
queen,               #
read                 #
remembrance          #
root                 #
said                 #
same.                #
saw                  #
sides                #
sight.               #
since                #
single               #
slain                #
so:                  #
soldiers,            #
son                  #
soul                 #
spoke                #
still.               #
stood                #
summons              #
sundry               #
sure                 #
thanes               #
that:                #
thee!                #
thee:                #
them:                #
them?                #
this?                #
thither              #
thou,                #
thought,             #
thousand             #
throne               #
thyself              #
time.                #
time;                #
times                #
toil                 #
torch                #
towards              #
tree                 #
trouble;             #
twenty               #
up,                  #
us,                  #
us?                  #
use.                 #
vantage,             #
wait                 #
warlike              #
water                #
welcome.             #
well:                #
whole                #
wild                 #
will.                #
wilt                 #
wind.                #
wish                 #
woman's              #
women                #
words:               #
worst                #
worth                #
wrought              #
ye                   #
yet,                 #
yet.                 #
you;                 #
&                    #
'Amen'               #
'Fear                #
'Gainst              #
'God                 #
'Hold,               #
'I                   #
'Murder!'            #
'Sleep               #
'They                #
'Thus                #
'gainst              #
't                   #
According            #
After                #
Alarums.             #
Alas,                #
Already              #
An                   #
Approach             #
Attend               #
Attendant            #
Banquo!              #
Banquo;              #
Birnam.              #
CAITHNESS,           #
Came                 #
Cawdor,              #
Cawdor.              #
Cawdor:              #
Cousins,             #
DONALBAIN]           #
Doctor,              #
Donalbain            #
Donalbain.           #
Duncan,              #
Enter,               #
Ere                  #
Every                #
Exit.                #
Fair                 #
Faith,               #
Fleance,             #
Glamis!              #
God,                 #
Goes                 #
Hecate's             #
Hie                  #
I'                   #
Ireland,             #
King                 #
Lay                  #
Live                 #
Look,                #
Lords,               #
MACBETH's            #
MENTEITH,            #
Macduff:             #
Makes                #
Malcolm!             #
Malcolm,             #
Meet                 #
Most                 #
Music                #
Nay,                 #
No;                  #
One                  #
Out,                 #
Peace!               #
Pour                 #
Pray                 #
Present              #
Prince               #
Prithee,             #
Scotland,            #
Sent                 #
Shake                #
Show                 #
Since                #
Sirrah,              #
Siward               #
Sleep                #
Speak,               #
Still                #
Strange              #
Sweet                #
Tell                 #
These                #
Think                #
Thou'rt              #
Thus                 #
To-morrow,           #
True,                #
Under                #
Unto                 #
VII.                 #
Whence               #
Wherefore            #
While                #
Whiles               #
Who,                 #
Worthy               #
[Within]             #
abide                #
advice,              #
afeard               #
again:               #
alive                #
all!                 #
all,                 #
all.                 #
angel                #
approaches           #
arm'd                #
armour.              #
arms                 #
art,                 #
ask'd                #
attempt              #
avarice              #
awake!               #
babe                 #
babes,               #
back,                #
back.                #
banners              #
banquet              #
bat                  #
battlements.         #
bears                #
beat                 #
bed!                 #
before,              #
before.              #
beg                  #
began                #
begin                #
begun                #
believe              #
bell                 #
bell.                #
betimes              #
between              #
beyond               #
bird                 #
birds                #
black,               #
blade                #
blame                #
bleed,               #
bleeding             #
bless                #
blood.               #
bloody,              #
blow                 #
blown                #
boil                 #
bold                 #
bond                 #
bones                #
born.                #
both.                #
brain                #
brains               #
brave                #
break                #
breed                #
bright               #
brought              #
business,            #
buy                  #
c                    #
calls                #
canst                #
castle's             #
cat                  #
cauldron.            #
causes               #
caution,             #
certain              #
certain,             #
chamber,             #
chamber?             #
chance,              #
charge               #
charmed              #
clear,               #
cleave               #
cling                #
close                #
cloud,               #
colours              #
comes.               #
command              #
commend              #
common               #
confess'd            #
continue             #
corporal             #
country!             #
